FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_END
DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_END
DIVIDE_2,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_2,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_2,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_END
DIVIDE_3,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_3,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_3,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
