DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
ADD_TRIGGER,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_END
DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,IF_ELSE
DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,IF_HP
DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,IF_END
DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,IF_ELSE
