ADD_TRIGGER,TAU,DIVIDE_10,TAU,TAU,DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_2,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
BURST_8,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,TAU,BLACK_HOLE#0,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
BURST_8,DIVIDE_3,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,TAU,BLACK_HOLE#0,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_10,IF_HP,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,IF_HP,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,IF_HP,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET
IF_HP,DIVIDE_4,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
IF_HP,DIVIDE_4,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_3,FLY_DOWNWARDS
TAU,DIVIDE_10,TAU,TAU,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,IF_ELSE
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,IF_HP
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,IF_END
