FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET
DIVIDE_10,DIVIDE_10,DIVIDE_2,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,IF_HP
DIVIDE_10,DIVIDE_10,DIVIDE_2,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_10,DIVIDE_10,DIVIDE_2,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,IF_ELSE
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,IF_HP
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,IF_END
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_END
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_END
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_2,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_3,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_4,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,IF_ELSE,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,BLACK_HOLE#0,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,IF_END,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,DIVIDE_3,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,DIVIDE_4,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,ADD_TRIGGER
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_10
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_2
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_3
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,DIVIDE_4
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,IF_ELSE
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,FLY_DOWNWARDS
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,IF_HP
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,BLACK_HOLE#0
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,IF_END
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,RESET
FLY_DOWNWARDS,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET,TAU
