DIVIDE_2,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
BURST_8,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET
BURST_8,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS
IF_ELSE,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_2,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_2,DIVIDE_3,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_2,DIVIDE_4,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_2,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_2,DIVIDE_3,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_2,DIVIDE_4,RESET
IF_END,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,TAU,DIVIDE_10,DIVIDE_10,RESET
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,TAU,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,TAU,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS,TAU,FLY_DOWNWARDS
