DIVIDE_10,IF_HP,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,ADD_TRIGGER,ADD_TRIGGER,FLY_DOWNWARDS,IF_HP,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_3,DIVIDE_3,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS,IF_HP,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_3,ADD_TRIGGER,FLY_DOWNWARDS,IF_HP,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_3,ADD_TRIGGER,IF_HP,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_3,ADD_TRIGGER,IF_HP,FLY_DOWNWARDS,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_HP
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_END
